"  42 loss: 1.50761 ss: 1.50760 time: 5h58m29s lr: 0.00001 ...val-1: 56.57%, nov-1: 56.20% (56.21%) val-5: 74.48%, nov-5: 73.57% (73.49%) "
"  43 loss: 1.51461 ss: 1.51449 time: 6h07m07s lr: 0.00001 ...val-1: 56.80%, nov-1: 56.07% (56.21%) val-5: 74.96%, nov-5: 73.97% (73.49%) "
"  44 loss: 1.51781 ss: 1.51779 time: 6h15m47s lr: 0.00001 ...val-1: 57.00%, nov-1: 56.23% (56.21%) val-5: 74.99%, nov-5: 73.71% (73.49%) "
"  45 loss: 1.51724 ss: 1.51740 time: 6h24m21s lr: 0.00001 ...val-1: 56.96%, nov-1: 56.27% (56.21%) val-5: 74.92%, nov-5: 74.00% (73.49%) "
"  46 loss: 1.51849 ss: 1.51859 time: 6h33m01s lr: 0.00001 ...val-1: 56.48%, nov-1: 56.33% (56.21%) val-5: 74.88%, nov-5: 73.63% (73.49%) "
"  47 loss: 1.50878 ss: 1.50903 time: 6h41m41s lr: 0.00001 ...val-1: 56.63%, nov-1: 56.23% (56.21%) val-5: 75.01%, nov-5: 73.84% (73.84%) "
"  48 loss: 1.50690 ss: 1.50672 time: 6h50m22s lr: 0.00001 ...val-1: 56.55%, nov-1: 56.17% (56.21%) val-5: 75.00%, nov-5: 73.53% (73.84%) "
"  49 loss: 1.51422 ss: 1.51438 time: 6h58m57s lr: 0.00001 ...val-1: 56.88%, nov-1: 56.32% (56.21%) val-5: 74.96%, nov-5: 73.87% (73.84%) "
"  50 loss: 1.51075 ss: 1.51090 time: 7h07m36s lr: 0.00001 ...val-1: 57.13%, nov-1: 56.29% (56.21%) val-5: 75.15%, nov-5: 73.91% (73.91%) "
"  51 loss: 1.51165 ss: 1.51159 time: 7h16m15s lr: 0.00000 ...val-1: 56.87%, nov-1: 56.23% (56.21%) val-5: 75.08%, nov-5: 73.92% (73.91%) "
"  52 loss: 1.52023 ss: 1.52027 time: 7h24m57s lr: 0.00000 ...val-1: 56.96%, nov-1: 56.17% (56.21%) val-5: 75.04%, nov-5: 73.67% (73.91%) "
"  53 loss: 1.52204 ss: 1.52201 time: 7h33m36s lr: 0.00000 ...val-1: 56.88%, nov-1: 56.11% (56.21%) val-5: 75.00%, nov-5: 73.69% (73.91%) "
"  54 loss: 1.51244 ss: 1.51250 time: 7h42m17s lr: 0.00000 ...val-1: 56.79%, nov-1: 56.20% (56.21%) val-5: 75.13%, nov-5: 73.75% (73.91%) "
"  55 loss: 1.51564 ss: 1.51607 time: 7h50m57s lr: 0.00000 ...val-1: 56.73%, nov-1: 55.79% (56.21%) val-5: 75.09%, nov-5: 74.03% (73.91%) "
